BFS_NR,Gemeindename,Jahr,Einwohner_pro_Quadratkilometer,Einwohner 0-14 Jahre alt,Einwohner 15-29 Jahre alt,Einwohner 30-44 Jahre alt,Einwohner 45-59 Jahre alt,Einwohner 60-74 Jahre alt,Einwohner 75-89 Jahre alt,Einwohner 90-104 Jahre alt,durchschnittliches_steuerbares_Einkommen_pro_Einwohner,Finanzvermoegen_pro_Einwohner,Einwohner,Einbruchdiebstahl_Total,Einschleichdiebstahl_Total,Einbruchdiebstahl_Versucht,Einschleichdiebstahl_Versucht,Einbruchdiebstahl_Vollendet,Einschleichdiebstahl_Vollendet
28,Flaach,2011,122.3,192,233,235,332,157,91,7,60425.0,6955.0,1227.0,10.0,0.0,2.0,0.0,8.0,0.0
29,Flurlingen,2011,595.8,229,237,286,361,211,101,5,63578.0,5327.0,1428.0,13.0,0.0,2.0,0.0,11.0,0.0
31,Henggart,2011,731.7,453,340,481,499,332,126,8,65299.0,6070.0,2213.0,9.0,5.0,3.0,0.0,6.0,5.0
33,Kleinandelfingen,2011,196.5,344,327,436,494,297,112,12,58663.0,7721.0,2085.0,28.0,5.0,10.0,0.0,18.0,5.0
34,Laufen-Uhwiesen,2011,245.3,259,192,335,351,264,125,7,69871.0,6650.0,1511.0,9.0,1.0,1.0,0.0,8.0,1.0
35,Marthalen,2011,139.6,287,401,395,471,294,112,15,58663.0,6572.0,1931.0,12.0,0.0,1.0,0.0,11.0,0.0
37,Ossingen,2011,103.0,244,237,251,314,208,89,7,51381.0,5004.0,1348.0,10.0,0.0,5.0,0.0,5.0,0.0
38,Rheinau,2011,147.4,183,217,246,373,188,97,12,56883.0,4727.0,1302.0,1.0,2.0,0.0,0.0,1.0,2.0
39,Thalheim,2011,136.0,161,126,202,220,129,33,5,55590.0,6456.0,818.0,10.0,0.0,2.0,0.0,8.0,0.0
40,Trüllikon,2011,103.8,145,142,205,238,197,59,6,54689.0,9030.0,993.0,6.0,0.0,1.0,0.0,5.0,0.0
41,Truttikon,2011,105.9,94,63,88,122,71,27,4,50790.0,8472.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Volken,2011,93.9,60,47,67,81,32,18,2,56928.0,14110.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Bachenbülach,2011,930.5,656,599,980,830,707,201,19,59996.0,7382.0,3885.0,20.0,5.0,10.0,0.0,10.0,5.0
52,Bassersdorf,2011,1241.0,1843,1975,2928,2362,1498,505,46,65054.0,5099.0,11077.0,79.0,9.0,25.0,0.0,54.0,9.0
53,Bülach,2011,1085.2,2622,3563,4078,3543,2509,1061,96,56972.0,5433.0,17511.0,84.0,50.0,27.0,0.0,57.0,50.0
54,Dietlikon,2011,1681.8,1100,1183,1612,1497,1168,511,26,67223.0,6964.0,7063.0,65.0,16.0,24.0,0.0,41.0,16.0
55,Eglisau,2011,494.5,772,733,1067,1023,653,224,18,66000.0,7909.0,4217.0,5.0,11.0,1.0,2.0,4.0,9.0
56,Embrach,2011,699.8,1472,1692,2048,2046,1230,393,34,57205.0,5406.0,8860.0,25.0,17.0,12.0,0.0,13.0,17.0
57,Freienstein-Teufen,2011,273.7,357,371,456,614,371,105,6,64070.0,5903.0,2294.0,5.0,4.0,2.0,0.0,3.0,4.0
58,Glattfelden,2011,362.6,727,789,1094,1070,569,195,19,57654.0,6983.0,4261.0,11.0,2.0,3.0,1.0,8.0,1.0
59,Hochfelden,2011,326.3,359,337,457,486,293,68,7,65936.0,9331.0,1996.0,2.0,2.0,1.0,0.0,1.0,2.0
60,Höri,2011,513.6,365,502,516,605,319,134,9,53598.0,6884.0,2455.0,13.0,3.0,3.0,0.0,10.0,3.0
61,Hüntwangen,2011,194.3,151,143,207,247,156,50,4,63896.0,16695.0,949.0,3.0,2.0,1.0,0.0,2.0,2.0
62,Kloten,2011,942.1,2494,3456,4483,3847,2527,1288,88,56532.0,8088.0,18030.0,124.0,44.0,38.0,0.0,86.0,44.0
63,Lufingen,2011,351.3,358,239,486,459,220,58,3,75105.0,8106.0,1762.0,19.0,12.0,5.0,0.0,14.0,12.0
64,Nürensdorf,2011,517.7,732,799,1160,1253,918,348,14,79303.0,5964.0,5180.0,24.0,3.0,9.0,0.0,15.0,3.0
65,Oberembrach,2011,98.3,147,167,214,249,159,60,5,62639.0,7832.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Opfikon,2011,2846.2,2348,3563,4216,3004,1864,887,85,51049.0,7450.0,15573.0,111.0,50.0,45.0,1.0,66.0,49.0
67,Rafz,2011,378.2,668,767,859,958,544,231,27,61507.0,5206.0,4025.0,4.0,6.0,1.0,1.0,3.0,5.0
68,Rorbas,2011,555.6,406,494,605,582,292,92,7,55267.0,9707.0,2339.0,11.0,3.0,6.0,0.0,5.0,3.0
69,Wallisellen,2011,2171.5,1951,2605,3513,2849,1963,1028,119,68542.0,6867.0,13654.0,125.0,33.0,46.0,2.0,79.0,31.0
70,Wasterkingen,2011,138.8,83,84,95,171,79,35,0,57658.0,8168.0,559.0,0.0,1.0,0.0,0.0,0.0,1.0
71,Wil,2011,144.5,183,226,260,322,206,93,6,59484.0,10441.0,1286.0,2.0,3.0,0.0,0.0,2.0,3.0
72,Winkel,2011,481.9,530,576,883,1019,687,196,12,89953.0,14293.0,3930.0,21.0,8.0,2.0,1.0,19.0,7.0
81,Bachs,2011,62.0,76,85,121,154,86,42,3,55369.0,6594.0,574.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Boppelsen,2011,328.1,248,146,303,297,233,54,5,86969.0,11480.0,1288.0,2.0,4.0,1.0,0.0,1.0,4.0
83,Buchs,2011,968.0,937,1192,1400,1319,660,164,20,60543.0,8108.0,5529.0,39.0,6.0,6.0,0.0,33.0,6.0
84,Dällikon,2011,812.7,590,623,860,856,552,155,5,54811.0,12509.0,3611.0,48.0,7.0,16.0,0.0,32.0,7.0
85,Dänikon,2011,683.2,326,405,421,464,223,69,5,63148.0,9865.0,1910.0,4.0,4.0,0.0,1.0,4.0,3.0
86,Dielsdorf,2011,982.5,873,1140,1364,1257,835,268,30,60613.0,6287.0,5643.0,34.0,31.0,13.0,2.0,21.0,29.0
87,Hüttikon,2011,415.0,73,111,156,177,111,31,5,66391.0,3875.0,662.0,1.0,1.0,0.0,0.0,1.0,1.0
88,Neerach,2011,502.3,379,392,774,789,525,149,6,91569.0,11409.0,2976.0,10.0,1.0,6.0,0.0,4.0,1.0
89,Niederglatt,2011,1261.9,715,836,1072,1038,612,238,32,57558.0,5113.0,4585.0,21.0,9.0,9.0,0.0,12.0,9.0
90,Niederhasli,2011,759.9,1413,1683,1982,1952,1167,386,11,60381.0,5056.0,8543.0,38.0,38.0,13.0,0.0,25.0,38.0
91,Niederweningen,2011,401.3,522,456,624,699,347,99,14,68125.0,8785.0,2731.0,7.0,2.0,1.0,1.0,6.0,1.0
92,Oberglatt,2011,726.5,1064,1223,1520,1247,713,198,14,50364.0,5288.0,5861.0,38.0,17.0,17.0,0.0,21.0,17.0
93,Oberweningen,2011,355.1,285,332,394,427,233,56,6,60051.0,4439.0,1746.0,6.0,5.0,3.0,0.0,3.0,5.0
94,Otelfingen,2011,361.7,452,396,637,592,392,131,8,63166.0,12429.0,2456.0,17.0,5.0,7.0,0.0,10.0,5.0
95,Regensberg,2011,209.2,97,59,124,108,82,27,1,71930.0,17933.0,491.0,3.0,1.0,0.0,0.0,3.0,1.0
96,Regensdorf,2011,1150.0,2668,3143,3926,3582,2401,1047,57,58703.0,5974.0,16547.0,135.0,49.0,44.0,3.0,91.0,46.0
