Ausgangsjahr,Gemeinde_BFS_Nr,Gemeindename,Stadtkreis_BFS_Nr,Stadtkreis_Name,Gesetz_Nummer,Gesetz_Abk,Tatbestand,Straftaten_total,Straftaten_vollendet,Straftaten_versucht,Einwohner,Häufigkeitszahl
2009,172,Fehraltorf,,,311.0,StGB,Einbrüche insgesamt,56,37,19,5208.0,10.8
2009,27,Feuerthalen,,,311.0,StGB,Einbruchdiebstahl,16,5,11,3389.0,4.7
2009,27,Feuerthalen,,,311.0,StGB,Einschleichdiebstahl,3,3,0,3389.0,0.9
2009,27,Feuerthalen,,,311.0,StGB,Einbrüche insgesamt,19,8,11,3389.0,5.6
2009,114,Fischenthal,,,311.0,StGB,Einbruchdiebstahl,4,2,2,2222.0,1.8
2009,114,Fischenthal,,,311.0,StGB,Einschleichdiebstahl,2,2,0,2222.0,0.9
2009,114,Fischenthal,,,311.0,StGB,Einbrüche insgesamt,6,4,2,2222.0,2.7
2009,28,Flaach,,,311.0,StGB,Einbruchdiebstahl,1,0,1,1237.0,0.8
2009,28,Flaach,,,311.0,StGB,Einschleichdiebstahl,0,0,0,1237.0,0.0
2009,28,Flaach,,,311.0,StGB,Einbrüche insgesamt,1,0,1,1237.0,0.8
2009,29,Flurlingen,,,311.0,StGB,Einbruchdiebstahl,16,9,7,1356.0,11.8
2009,29,Flurlingen,,,311.0,StGB,Einschleichdiebstahl,2,1,1,1356.0,1.5
2009,29,Flurlingen,,,311.0,StGB,Einbrüche insgesamt,18,10,8,1356.0,13.3
2009,57,Freienstein-Teufen,,,311.0,StGB,Einbruchdiebstahl,7,6,1,2249.0,3.1
2009,57,Freienstein-Teufen,,,311.0,StGB,Einschleichdiebstahl,3,3,0,2249.0,1.3
2009,57,Freienstein-Teufen,,,311.0,StGB,Einbrüche insgesamt,10,9,1,2249.0,4.4
2009,193,Fällanden,,,311.0,StGB,Einbruchdiebstahl,48,30,18,7774.0,6.2
2009,193,Fällanden,,,311.0,StGB,Einschleichdiebstahl,29,29,0,7774.0,3.7
2009,193,Fällanden,,,311.0,StGB,Einbrüche insgesamt,77,59,18,7774.0,9.9
2009,244,Geroldswil,,,311.0,StGB,Einbruchdiebstahl,29,20,9,4518.0,6.4
2009,244,Geroldswil,,,311.0,StGB,Einschleichdiebstahl,7,7,0,4518.0,1.5
2009,244,Geroldswil,,,311.0,StGB,Einbrüche insgesamt,36,27,9,4518.0,8.0
2009,58,Glattfelden,,,311.0,StGB,Einbruchdiebstahl,7,3,4,4122.0,1.7
2009,58,Glattfelden,,,311.0,StGB,Einschleichdiebstahl,1,1,0,4122.0,0.2
2009,58,Glattfelden,,,311.0,StGB,Einbrüche insgesamt,8,4,4,4122.0,1.9
2009,115,Gossau,,,311.0,StGB,Einbruchdiebstahl,26,19,7,9397.0,2.8
2009,115,Gossau,,,311.0,StGB,Einschleichdiebstahl,9,9,0,9397.0,1.0
2009,115,Gossau,,,311.0,StGB,Einbrüche insgesamt,35,28,7,9397.0,3.7
2009,194,Greifensee,,,311.0,StGB,Einbruchdiebstahl,5,3,2,4964.0,1.0
2009,194,Greifensee,,,311.0,StGB,Einschleichdiebstahl,6,6,0,4964.0,1.2
2009,194,Greifensee,,,311.0,StGB,Einbrüche insgesamt,11,9,2,4964.0,2.2
2009,116,Grüningen,,,311.0,StGB,Einbruchdiebstahl,9,8,1,2883.0,3.1
2009,116,Grüningen,,,311.0,StGB,Einschleichdiebstahl,4,3,1,2883.0,1.4
2009,116,Grüningen,,,311.0,StGB,Einbrüche insgesamt,13,11,2,2883.0,4.5
